:ID(CWE),:LABEL,cwe_id:int,name:string,abstraction:string,status:string,description:string,owasp_code:string,owasp_title:string,likelihood_of_exploit:string,applicable_platforms:string
90,CWE,90,Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),Base,Draft,"The product constructs all or part of an LDAP query using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended LDAP query when it is sent to a downstream component.",,,,Not Language-Specific
91,CWE,91,XML Injection (aka Blind XPath Injection),Base,Draft,"The product does not properly neutralize special elements that are used in XML, allowing attackers to modify the syntax, content, or commands of the XML before it is processed by an end system.",,,,Not Language-Specific
93,CWE,93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),Base,Draft,"The product uses CRLF (carriage return line feeds) as a special element, e.g. to separate lines or records, but it does not neutralize or incorrectly neutralizes CRLF sequences from inputs.",,,,Not Language-Specific
94,CWE,94,Improper Control of Generation of Code ('Code Injection'),Base,Draft,"The product constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment.",,,,Interpreted
95,CWE,95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),Variant,Incomplete,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes code syntax before using the input in a dynamic evaluation call (e.g. eval).",,,,Java
96,CWE,96,Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection'),Base,Draft,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes code syntax before inserting the input into an executable resource, such as a library, configuration file, or template.",,,,PHP
97,CWE,97,Improper Neutralization of Server-Side Includes (SSI) Within a Web Page,Variant,Draft,"The product generates a web page, but does not neutralize or incorrectly neutralizes user-controllable input that could be interpreted as a server-side include (SSI) directive.",,,,Not Language-Specific
98,CWE,98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),Variant,Draft,"The PHP application receives input from an upstream component, but it does not restrict or incorrectly restricts the input before its usage in require, include, or similar functions.",,,,PHP
99,CWE,99,Improper Control of Resource Identifiers ('Resource Injection'),Class,Draft,"The product receives input from an upstream component, but it does not restrict or incorrectly restricts the input before it is used as an identifier for a resource that may be outside the intended sphere of control.",,,,Not Language-Specific
103,CWE,103,Struts: Incomplete validate() Method Definition,Variant,Draft,"The product has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate().",,,,Java
104,CWE,104,Struts: Form Bean Does Not Extend Validation Class,Variant,Draft,"If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation.",,,,Java
112,CWE,112,Missing XML Validation,Base,Draft,The product accepts XML from an untrusted source but does not validate the XML against the proper schema.,,,,Not Language-Specific
113,CWE,113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),Variant,Incomplete,"The product receives data from an HTTP agent/component (e.g., web server, proxy, browser, etc.), but it does not neutralize or incorrectly neutralizes CR and LF characters before the data is included in outgoing HTTP headers.",,,,Not Language-Specific
114,CWE,114,Process Control,Class,Incomplete,Executing commands or loading libraries from an untrusted source or in an untrusted environment can cause an application to execute malicious commands (and payloads) on behalf of an attacker.,,,,Not Language-Specific
115,CWE,115,Misinterpretation of Input,Base,Incomplete,"The product misinterprets an input, whether from an attacker or another product, in a security-relevant fashion.",,,,Not Language-Specific
116,CWE,116,Improper Encoding or Escaping of Output,Class,Draft,"The product prepares a structured message for communication with another component, but encoding or escaping of the data is either missing or done incorrectly. As a result, the intended structure of the message is not preserved.",,,,Not Language-Specific
117,CWE,117,Improper Output Neutralization for Logs,Base,Draft,"The product constructs a log message from external input, but it does not neutralize or incorrectly neutralizes special elements when the message is written to a log file.",,,,Not Language-Specific
129,CWE,129,Improper Validation of Array Index,Variant,Draft,"The product uses untrusted input when calculating or using an array index, but the product does not validate or incorrectly validates the index to ensure the index references a valid position within the array.",,,,C
159,CWE,159,Improper Handling of Invalid Use of Special Elements,Class,Draft,"The product does not properly filter, remove, quote, or otherwise manage the invalid use of special elements in user-controlled input, which could cause adverse effect on its behavior and integrity.",,,,Not Language-Specific
183,CWE,183,Permissive List of Allowed Inputs,Base,Draft,"The product implements a protection mechanism that relies on a list of inputs (or properties of inputs) that are explicitly allowed by policy because the inputs are assumed to be safe, but the list is too permissive - that is, it allows an input that is unsafe, leading to resultant weaknesses.",,,,Not Language-Specific
200,CWE,200,Exposure of Sensitive Information to an Unauthorized Actor,Class,Draft,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.,,,,Not Language-Specific
201,CWE,201,Insertion of Sensitive Information Into Sent Data,Base,Draft,"The code transmits data to another actor, but a portion of the data includes sensitive information that should not be accessible to that actor.",,,,Not Language-Specific
209,CWE,209,Generation of Error Message Containing Sensitive Information,Base,Draft,"The product generates an error message that includes sensitive information about its environment, users, or associated data.",,,,PHP
215,CWE,215,Insertion of Sensitive Information Into Debugging Code,Base,Draft,"The product inserts sensitive information into debugging code, which could expose this information if the debugging code is not disabled in production.",,,,Not Language-Specific
219,CWE,219,Storage of File with Sensitive Data Under Web Root,Variant,Draft,"The product stores sensitive data under the web document root with insufficient access control, which might make it accessible to untrusted parties.",,,,Not Language-Specific
221,CWE,221,Information Loss or Omission,Class,Incomplete,"The product does not record, or improperly records, security-relevant information that leads to an incorrect decision or hampers later analysis.",,,,Not Language-Specific
223,CWE,223,Omission of Security-relevant Information,Base,Draft,"The product does not record or display information that would be important for identifying the source or nature of an attack, or determining if an action is safe.",,,,Not Language-Specific
234,CWE,234,Failure to Handle Missing Parameter,Variant,Incomplete,"If too few arguments are sent to a function, the function will still pop the expected number of arguments from the stack. Potentially, a variable number of arguments could be exhausted in a function as well.",,,,Not Language-Specific
235,CWE,235,Improper Handling of Extra Parameters,Variant,Draft,"The product does not handle or incorrectly handles when the number of parameters, fields, or arguments with the same name exceeds the expected amount.",,,,Not Language-Specific
248,CWE,248,Uncaught Exception,Base,Draft,"An exception is thrown from a function, but it is not caught.",,,,C++
252,CWE,252,Unchecked Return Value,Base,Draft,"The product does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions.",,,,Not Language-Specific
256,CWE,256,Plaintext Storage of a Password,Base,Incomplete,The product stores a password in plaintext within resources such as memory or files.,,,,Not Language-Specific
258,CWE,258,Empty Password in Configuration File,Variant,Incomplete,Using an empty string as a password is insecure.,,,,Not Language-Specific
259,CWE,259,Use of Hard-coded Password,Variant,Draft,"The product contains a hard-coded password, which it uses for its own inbound authentication or for outbound communication to external components.",,,,Not Language-Specific
260,CWE,260,Password in Configuration File,Base,Incomplete,The product stores a password in a configuration file that might be accessible to actors who do not know the password.,,,,Not Language-Specific
261,CWE,261,Weak Encoding for Password,Base,Incomplete,Obscuring a password with a trivial encoding does not protect the password.,,,,Not Language-Specific
266,CWE,266,Incorrect Privilege Assignment,Base,Draft,"A product incorrectly assigns a privilege to a particular actor, creating an unintended sphere of control for that actor.",,,,Not Language-Specific
269,CWE,269,Improper Privilege Management,Class,Draft,"The product does not properly assign, modify, track, or check privileges for an actor, creating an unintended sphere of control for that actor.",,,,Not Language-Specific
274,CWE,274,Improper Handling of Insufficient Privileges,Base,Draft,"The product does not handle or incorrectly handles when it has insufficient privileges to perform an operation, leading to resultant weaknesses.",,,,Not Language-Specific
276,CWE,276,Incorrect Default Permissions,Base,Draft,"During installation, installed file permissions are set to allow anyone to modify those files.",,,,Not Language-Specific
280,CWE,280,Improper Handling of Insufficient Permissions or Privileges,Base,Draft,The product does not handle or incorrectly handles when it has insufficient privileges to access resources or functionality as specified by their permissions. This may cause it to follow unexpected code paths that may leave the product in an invalid state.,,,,Not Language-Specific
281,CWE,281,Improper Preservation of Permissions,Base,Draft,"The product does not preserve permissions or incorrectly preserves permissions when copying, restoring, or sharing objects, which can cause them to have less restrictive permissions than intended.",,,,Not Language-Specific
282,CWE,282,Improper Ownership Management,Class,Draft,"The product assigns the wrong ownership, or does not properly verify the ownership, of an object or resource.",,,,Not Language-Specific
283,CWE,283,Unverified Ownership,Base,Draft,The product does not properly verify that a critical resource is owned by the proper entity.,,,,Not Language-Specific
284,CWE,284,Improper Access Control,Pillar,Incomplete,The product does not restrict or incorrectly restricts access to a resource from an unauthorized actor.,,,,Not Language-Specific
285,CWE,285,Improper Authorization,Class,Draft,The product does not perform or incorrectly performs an authorization check when an actor attempts to access a resource or perform an action.,,,,Not Language-Specific
286,CWE,286,Incorrect User Management,Class,Incomplete,The product does not properly manage a user within its environment.,,,,Not Language-Specific
287,CWE,287,Improper Authentication,Class,Draft,"When an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct.",,,,Not Language-Specific
288,CWE,288,Authentication Bypass Using an Alternate Path or Channel,Base,Incomplete,"The product requires authentication, but the product has an alternate path or channel that does not require authentication.",,,,Not Language-Specific
289,CWE,289,Authentication Bypass by Alternate Name,Base,Incomplete,"The product performs authentication based on the name of a resource being accessed, or the name of the actor performing the access, but it does not properly check all possible names for that resource or actor.",,,,Not Language-Specific
290,CWE,290,Authentication Bypass by Spoofing,Base,Incomplete,This attack-focused weakness is caused by incorrectly implemented authentication schemes that are subject to spoofing attacks.,,,,Not Language-Specific
291,CWE,291,Reliance on IP Address for Authentication,Variant,Incomplete,The product uses an IP address for authentication.,,,,Not Language-Specific
293,CWE,293,Using Referer Field for Authentication,Variant,Draft,"The referer field in HTTP requests can be easily modified and, as such, is not a valid means of message integrity checking.",,,,Not Language-Specific
294,CWE,294,Authentication Bypass by Capture-replay,Base,Incomplete,A capture-replay flaw exists when the design of the product makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (or with minor changes).,,,,Not Language-Specific
295,CWE,295,Improper Certificate Validation,Base,Draft,"The product does not validate, or incorrectly validates, a certificate.",,,,Not Language-Specific
296,CWE,296,Improper Following of a Certificate's Chain of Trust,Base,Draft,"The product does not follow, or incorrectly follows, the chain of trust for a certificate back to a trusted root certificate.",,,,Not Language-Specific
297,CWE,297,Improper Validation of Certificate with Host Mismatch,Variant,Incomplete,"The product communicates with a host that provides a certificate, but the product does not properly ensure that the certificate is actually associated with that host.",,,,Not Language-Specific
298,CWE,298,Improper Validation of Certificate Expiration,Variant,Draft,A certificate expiration is not validated or is incorrectly validated.,,,,Not Language-Specific
299,CWE,299,Improper Check for Certificate Revocation,Base,Draft,"The product does not check or incorrectly checks the revocation status of a certificate, which may cause it to use a certificate that has been compromised.",,,,Not Language-Specific
300,CWE,300,Channel Accessible by Non-Endpoint,Class,Draft,"The product does not adequately verify the identity of actors at both ends of a communication channel, or does not adequately ensure the integrity of the channel, in a way that allows the channel to be accessed or influenced by an actor that is not an endpoint.",,,,Not Language-Specific
302,CWE,302,Authentication Bypass by Assumed-Immutable Data,Base,Incomplete,"The authentication scheme or implementation uses key data elements that are assumed to be immutable, but can be controlled or modified by the attacker.",,,,Not Language-Specific
303,CWE,303,Incorrect Implementation of Authentication Algorithm,Base,Draft,"The requirements for the product dictate the use of an established authentication algorithm, but the implementation of the algorithm is incorrect.",,,,Not Language-Specific
304,CWE,304,Missing Critical Step in Authentication,Base,Draft,"The product implements an authentication technique, but it skips a step that weakens the technique.",,,,Not Language-Specific
305,CWE,305,Authentication Bypass by Primary Weakness,Base,Draft,"The authentication algorithm is sound, but the implemented mechanism can be bypassed as the result of a separate weakness that is primary to the authentication error.",,,,Not Language-Specific
306,CWE,306,Missing Authentication for Critical Function,Base,Draft,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.,,,,Not Language-Specific
307,CWE,307,Improper Restriction of Excessive Authentication Attempts,Base,Draft,The product does not implement sufficient measures to prevent multiple failed authentication attempts within a short time frame.,,,,Not Language-Specific
308,CWE,308,Use of Single-factor Authentication,Base,Draft,"The product uses an authentication algorithm that uses a single factor (e.g., a password) in a security context that should require more than one factor.",,,,Not Language-Specific
309,CWE,309,Use of Password System for Primary Authentication,Base,Draft,"The use of password systems as the primary means of authentication may be subject to several flaws or shortcomings, each reducing the effectiveness of the mechanism.",,,,Not Language-Specific
311,CWE,311,Missing Encryption of Sensitive Data,Class,Draft,The product does not encrypt sensitive or critical information before storage or transmission.,,,,Not Language-Specific
312,CWE,312,Cleartext Storage of Sensitive Information,Base,Draft,The product stores sensitive information in cleartext within a resource that might be accessible to another control sphere.,,,,Not Language-Specific
313,CWE,313,Cleartext Storage in a File or on Disk,Variant,Draft,"The product stores sensitive information in cleartext in a file, or on disk.",,,,Not Language-Specific
315,CWE,315,Cleartext Storage of Sensitive Information in a Cookie,Variant,Draft,The product stores sensitive information in cleartext in a cookie.,,,,Not Language-Specific
316,CWE,316,Cleartext Storage of Sensitive Information in Memory,Variant,Draft,The product stores sensitive information in cleartext in memory.,,,,Not Language-Specific
319,CWE,319,Cleartext Transmission of Sensitive Information,Base,Draft,The product transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.,,,,Not Language-Specific
321,CWE,321,Use of Hard-coded Cryptographic Key,Variant,Draft,"The product uses a hard-coded, unchangeable cryptographic key.",,,,Not Language-Specific
322,CWE,322,Key Exchange without Entity Authentication,Base,Draft,The product performs a key exchange with an actor without verifying the identity of that actor.,,,,Not Language-Specific
323,CWE,323,"Reusing a Nonce, Key Pair in Encryption",Base,Incomplete,Nonces should be used for the present occasion and only once.,,,,Not Language-Specific
324,CWE,324,Use of a Key Past its Expiration Date,Base,Draft,"The product uses a cryptographic key or password past its expiration date, which diminishes its safety significantly by increasing the timing window for cracking attacks against that key.",,,,Not Language-Specific
325,CWE,325,Missing Cryptographic Step,Base,Draft,"The product does not implement a required step in a cryptographic algorithm, resulting in weaker encryption than advertised by the algorithm.",,,,Not Language-Specific
326,CWE,326,Inadequate Encryption Strength,Class,Draft,"The product stores or transmits sensitive data using an encryption scheme that is theoretically sound, but is not strong enough for the level of protection required.",,,,Not Language-Specific
327,CWE,327,Use of a Broken or Risky Cryptographic Algorithm,Class,Draft,The product uses a broken or risky cryptographic algorithm or protocol.,,,,Verilog
328,CWE,328,Use of Weak Hash,Base,Draft,"The product uses an algorithm that produces a digest (output value) that does not meet security expectations for a hash function that allows an adversary to reasonably determine the original input (preimage attack), find another input that can produce the same hash (2nd preimage attack), or find multiple inputs that evaluate to the same hash (birthday attack).",,,,Not Language-Specific
329,CWE,329,Generation of Predictable IV with CBC Mode,Variant,Draft,"The product generates and uses a predictable initialization Vector (IV) with Cipher Block Chaining (CBC) Mode, which causes algorithms to be susceptible to dictionary attacks when they are encrypted under the same key.",,,,Not Language-Specific
330,CWE,330,Use of Insufficiently Random Values,Class,Stable,The product uses insufficiently random numbers or values in a security context that depends on unpredictable numbers.,,,,Not Language-Specific
331,CWE,331,Insufficient Entropy,Base,Draft,"The product uses an algorithm or scheme that produces insufficient entropy, leaving patterns or clusters of values that are more likely to occur than others.",,,,Not Language-Specific
332,CWE,332,Insufficient Entropy in PRNG,Variant,Draft,"The lack of entropy available for, or used by, a Pseudo-Random Number Generator (PRNG) can be a stability and security threat.",,,,Not Language-Specific
334,CWE,334,Small Space of Random Values,Base,Draft,"The number of possible random values is smaller than needed by the product, making it more susceptible to brute force attacks.",,,,Not Language-Specific
335,CWE,335,Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),Base,Draft,The product uses a Pseudo-Random Number Generator (PRNG) but does not correctly manage seeds.,,,,Not Language-Specific
336,CWE,336,Same Seed in Pseudo-Random Number Generator (PRNG),Variant,Draft,A Pseudo-Random Number Generator (PRNG) uses the same seed each time the product is initialized.,,,,Not Language-Specific
337,CWE,337,Predictable Seed in Pseudo-Random Number Generator (PRNG),Variant,Draft,"A Pseudo-Random Number Generator (PRNG) is initialized from a predictable seed, such as the process ID or system time.",,,,Not Language-Specific
338,CWE,338,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),Base,Draft,"The product uses a Pseudo-Random Number Generator (PRNG) in a security context, but the PRNG's algorithm is not cryptographically strong.",,,,Not Language-Specific
340,CWE,340,Generation of Predictable Numbers or Identifiers,Class,Incomplete,The product uses a scheme that generates numbers or identifiers that are more predictable than required.,,,,Not Language-Specific
342,CWE,342,Predictable Exact Value from Previous Values,Base,Draft,An exact value or random number can be precisely predicted by observing previous values.,,,,Not Language-Specific
345,CWE,345,Insufficient Verification of Data Authenticity,Class,Draft,"The product does not sufficiently verify the origin or authenticity of data, in a way that causes it to accept invalid data.",,,,Not Language-Specific
346,CWE,346,Origin Validation Error,Class,Draft,The product does not properly verify that the source of data or communication is valid.,,,,Not Language-Specific
347,CWE,347,Improper Verification of Cryptographic Signature,Base,Draft,"The product does not verify, or incorrectly verifies, the cryptographic signature for data.",,,,Not Language-Specific
350,CWE,350,Reliance on Reverse DNS Resolution for a Security-Critical Action,Variant,Draft,"The product performs reverse DNS resolution on an IP address to obtain the hostname and make a security decision, but it does not properly ensure that the IP address is truly associated with the hostname.",,,,Not Language-Specific
352,CWE,352,Cross-Site Request Forgery (CSRF),Compound,Stable,"The web application does not, or cannot, sufficiently verify whether a request was intentionally provided by the user who sent the request, which could have originated from an unauthorized actor.",,,,Not Language-Specific
353,CWE,353,Missing Support for Integrity Check,Base,Draft,"The product uses a transmission protocol that does not include a mechanism for verifying the integrity of the data during transmission, such as a checksum.",,,,Not Language-Specific
359,CWE,359,Exposure of Private Personal Information to an Unauthorized Actor,Base,Incomplete,"The product does not properly prevent a person's private, personal information from being accessed by actors who either (1) are not explicitly authorized to access the information or (2) do not have the implicit consent of the person about whom the information is collected.",,,,Not Language-Specific
362,CWE,362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Class,Draft,"The product contains a concurrent code sequence that requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence operating concurrently.",,,,C
369,CWE,369,Divide By Zero,Base,Draft,The product divides a value by zero.,,,,Not Language-Specific
377,CWE,377,Insecure Temporary File,Class,Incomplete,Creating and using insecure temporary files can leave application and system data vulnerable to attack.,,,,Not Language-Specific
379,CWE,379,Creation of Temporary File in Directory with Insecure Permissions,Base,Incomplete,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,,,,Not Language-Specific
382,CWE,382,J2EE Bad Practices: Use of System.exit(),Variant,Draft,"A J2EE application uses System.exit(), which also shuts down its container.",,,,Java
384,CWE,384,Session Fixation,Compound,Incomplete,"Authenticating a user, or otherwise establishing a new user session, without invalidating any existing session identifier gives an attacker the opportunity to steal authenticated sessions.",,,,Not Language-Specific
390,CWE,390,Detection of Error Condition Without Action,Base,Draft,"The product detects a specific error, but takes no actions to handle the error.",,,,Not Language-Specific
391,CWE,391,Unchecked Error Condition,Base,Incomplete,"[PLANNED FOR DEPRECATION. SEE MAINTENANCE NOTES AND CONSIDER CWE-252, CWE-248, OR CWE-1069.] Ignoring exceptions and other error conditions may allow an attacker to induce unexpected behavior unnoticed.",,,,Not Language-Specific
394,CWE,394,Unexpected Status Code or Return Value,Base,Draft,"The product does not properly check when a function or operation returns a value that is legitimate for the function, but is not expected by the product.",,,,Not Language-Specific
396,CWE,396,Declaration of Catch for Generic Exception,Base,Draft,Catching overly broad exceptions promotes complex error handling code that is more likely to contain security vulnerabilities.,,,,C++
397,CWE,397,Declaration of Throws for Generic Exception,Base,Draft,The product throws or raises an overly broad exceptions that can hide important details and produce inappropriate responses to certain conditions.,,,,C++
402,CWE,402,Transmission of Private Resources into a New Sphere ('Resource Leak'),Class,Draft,The product makes resources available to untrusted parties when those resources are only intended to be accessed by the product.,,,,Not Language-Specific
419,CWE,419,Unprotected Primary Channel,Base,Draft,"The product uses a primary channel for administration or restricted functionality, but it does not properly protect the channel.",,,,Not Language-Specific
424,CWE,424,Improper Protection of Alternate Path,Class,Draft,The product does not sufficiently protect all possible paths that a user can take to access restricted functionality or resources.,,,,Not Language-Specific
425,CWE,425,Direct Request ('Forced Browsing'),Base,Incomplete,"The web application does not adequately enforce appropriate authorization on all restricted URLs, scripts, or files.",,,,Not Language-Specific
426,CWE,426,Untrusted Search Path,Base,Stable,The product searches for critical resources using an externally-supplied search path that can point to resources that are not under the product's direct control.,,,,Not Language-Specific
427,CWE,427,Uncontrolled Search Path Element,Base,Draft,"The product uses a fixed or controlled search path to find resources, but one or more locations in that path can be under the control of unintended actors.",,,,Not Language-Specific
434,CWE,434,Unrestricted Upload of File with Dangerous Type,Base,Draft,The product allows the upload or transfer of dangerous file types that are automatically processed within its environment.,,,,ASP.NET
436,CWE,436,Interpretation Conflict,Class,Incomplete,"Product A handles inputs or steps differently than Product B, which causes A to perform incorrect actions based on its perception of B's state.",,,,Not Language-Specific
441,CWE,441,Unintended Proxy or Intermediary ('Confused Deputy'),Class,Draft,"The product receives a request, message, or directive from an upstream component, but the product does not sufficiently preserve the original source of the request before forwarding the request to an external actor that is outside of the product's control sphere. This causes the product to appear to be the source of the request, leading it to act as a proxy or other intermediary between the upstream component and the external actor.",,,,Not Language-Specific
444,CWE,444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),Base,Incomplete,"The product acts as an intermediary HTTP agent (such as a proxy or firewall) in the data flow between two entities such as a client and server, but it does not interpret malformed HTTP requests or responses in ways that are consistent with how the messages will be processed by those entities that are at the ultimate destination.",,,,Not Language-Specific
447,CWE,447,Unimplemented or Unsupported Feature in UI,Base,Draft,"A UI function for a security feature appears to be supported and gives feedback to the user that suggests that it is supported, but the underlying functionality is not implemented.",,,,Not Language-Specific
451,CWE,451,User Interface (UI) Misrepresentation of Critical Information,Class,Draft,"The user interface (UI) does not properly represent critical information to the user, allowing the information - or its source - to be obscured or spoofed. This is often a component in phishing attacks.",,,,Not Language-Specific
454,CWE,454,External Initialization of Trusted Variables or Data Stores,Base,Draft,The product initializes critical internal variables or data stores using inputs that can be modified by untrusted actors.,,,,PHP
460,CWE,460,Improper Cleanup on Thrown Exception,Base,Draft,"The product does not clean up its state or incorrectly cleans up its state when an exception is thrown, leading to unexpected state or control flow.",,,,C
470,CWE,470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),Base,Draft,"The product uses external input with reflection to select which classes or code to use, but it does not sufficiently prevent the input from selecting improper classes or code.",,,,Java
472,CWE,472,External Control of Assumed-Immutable Web Parameter,Base,Draft,"The web application does not sufficiently verify inputs that are assumed to be immutable but are actually externally controllable, such as hidden form fields.",,,,Not Language-Specific
476,CWE,476,NULL Pointer Dereference,Base,Stable,The product dereferences a pointer that it expects to be valid but is NULL.,,,,C
477,CWE,477,Use of Obsolete Function,Base,Draft,"The code uses deprecated or obsolete functions, which suggests that the code has not been actively reviewed or maintained.",,,,Not Language-Specific
478,CWE,478,Missing Default Case in Multiple Condition Expression,Base,Draft,"The code does not have a default case in an expression with multiple conditions, such as a switch statement.",,,,C
