mitigation_id,mitigation_name,description,mitigates_technique_ids,url,matrix
AML.M0022,Generative AI Model Alignment,"When training or fine-tuning a generative AI model it is important to utilize techniques that improve model alignment with safety, security, and content policies.  The fine-tuning process can potentially remove built-in safety mechanisms in a generative AI model, but utilizing techniques such as Supervised Fine-Tuning, Reinforcement Learning from Human Feedback or AI Feedback, and Targeted Safety Context Distillation can improve the safety and alignment of the model.",AML.T0054|AML.T0056|AML.T0053|AML.T0051|AML.T0057|AML.T0061|AML.T0062,https://atlas.mitre.org/mitigations/AML.M0022/,atlas
AML.M0023,AI Bill of Materials,"An AI Bill of Materials (AI BOM) contains a full listing of artifacts and resources that were used in building the AI. The AI BOM can help mitigate supply chain risks and enable rapid response to reported vulnerabilities.  This can include maintaining dataset provenance, i.e. a detailed history of datasets used for AI applications. The history can include information about the dataset source as well as well as a complete record of any modifications.",AML.T0011.000|AML.T0019|AML.T0020|AML.T0058|AML.T0011.001|AML.T0011|AML.T0010,https://atlas.mitre.org/mitigations/AML.M0023/,atlas
AML.M0024,AI Telemetry Logging,"Implement logging of inputs and outputs of deployed AI models. When deploying AI agents, implement logging of the intermediate steps of agentic actions and decisions, data access and tool use, installation commands, and identity of the agent. Monitoring logs can help to detect security threats and mitigate impacts.  Additionally, having logging enabled can discourage adversaries who want to remain undetected from utilizing AI resources.",AML.T0024|AML.T0024.000|AML.T0024.001|AML.T0024.002|AML.T0005.001|AML.T0040|AML.T0047|AML.T0051|AML.T0051.000|AML.T0051.001|AML.T0051.002|AML.T0053|AML.T0086|AML.T0101|AML.T0085|AML.T0085.000|AML.T0085.001,https://atlas.mitre.org/mitigations/AML.M0024/,atlas
AML.M0025,Maintain AI Dataset Provenance,Maintain a detailed history of datasets used for AI applications. The history should include information about the dataset's source as well as a complete record of any modifications.,AML.T0010.002|AML.T0020|AML.T0018.000|AML.T0019|AML.T0059,https://atlas.mitre.org/mitigations/AML.M0025/,atlas
AML.M0026,Privileged AI Agent Permissions Configuration,"AI agents may be granted elevated privileges above that of a normal user to enable desired workflows. When deploying a privileged AI agent, or an agent that interacts with multiple users, it is important to implement robust policies and controls on permissions of the privileged agent. These controls include Role-Based Access Controls (RBAC), Attribute-Based Access Controls (ABAC), and the principle of least privilege so that the agent is only granted the necessary permissions to access tools and resources required to accomplish its designated task(s).",AML.T0086|AML.T0053|AML.T0085|AML.T0085.000|AML.T0085.001|AML.T0082|AML.T0101,https://atlas.mitre.org/mitigations/AML.M0026/,atlas
AML.M0027,Single-User AI Agent Permissions Configuration,"When deploying an AI agent that acts as a representative of a user and performs actions on their behalf, it is important to implement robust policies and controls on permissions and lifecycle management of the agent. Lifecycle management involves establishing identity, protocols for access management, and decommissioning of the agent when its role is no longer needed. Controls should also include the principle of least privilege and delegated access from the user account. When acting as a representative of a user, the AI agent should not be granted permissions that the user would not be granted within the system or organization.",AML.T0086|AML.T0053|AML.T0085|AML.T0085.000|AML.T0085.001|AML.T0082|AML.T0101,https://atlas.mitre.org/mitigations/AML.M0027/,atlas
AML.M0028,AI Agent Tools Permissions Configuration,"When deploying tools that will be shared across multiple AI agents, it is important to implement robust policies and controls on permissions for the tools. These controls include applying the principle of least privilege along with delegated access, where the tools receive the permissions, identities, and restrictions of the AI agent calling them. These configurations may be implemented either in MCP servers which connect the agents to the tools calling them or, in more complex cases, directly in the configuration files of the tool.",AML.T0053|AML.T0085|AML.T0085.001|AML.T0101|AML.T0086,https://atlas.mitre.org/mitigations/AML.M0028/,atlas
AML.M0029,Human In-the-Loop for AI Agent Actions,"Systems should require the user or another human stakeholder to approve AI agent actions before the agent takes them. The human approver may be technical staff or business unit SMEs depending on the use case. Separate tools, such as dedicated audit agents, may assist human approval, but final adjudication should be conducted by a human decision-maker.   The security benefits from Human In-the-Loop policies may be at odds with operational overhead costs of additional approvals. To ease this, Human In-the-Loop policies should follow the degree of consequence of the task at hand. Minor, repetitive tasks performed by agents accessing basic tools may only require minimal human oversight, while agents employed in systems with significant consequences may necessitate approval from multiple stakeholders diversified across multiple organizations.",AML.T0086|AML.T0053|AML.T0101,https://atlas.mitre.org/mitigations/AML.M0029/,atlas
AML.M0030,Restrict AI Agent Tool Invocation on Untrusted Data,"Untrusted data can contain prompt injections that invoke an AI agent's tools, potentially causing confidentiality, integrity or availability violations. It is recommended that tool invocation be restricted or limited when untrusted data enters the LLM's context.  The degree to which tool invocation is restricted may depend on the potential consequences of the action. Consider blocking the automatic invocation of tools or requiring user confirmation once untrusted data enters the LLM's context. For high consequence actions, consider always requiring user confirmation.",AML.T0053|AML.T0086|AML.T0101,https://atlas.mitre.org/mitigations/AML.M0030/,atlas
AML.M0031,Memory Hardening,"Memory Hardening involves developing trust boundaries and secure processes for how an AI agent stores and accesses memory and context. This may be implemented using a combination of strategies including restricting an agent's ability to store memories by requiring external authentication and validation for memory updates, performing semantic integrity checks on retrieved memories before agents execute actions, and implementing controls for monitoring of memory and remediation processes for poisoned memory.",AML.T0080|AML.T0080.000,https://atlas.mitre.org/mitigations/AML.M0031/,atlas
AML.M0032,Segmentation of AI Agent Components,"Define security boundaries around agentic tools and data sources with methods such as API access, container isolation, code execution sandboxing, and rate limiting of tool invocation. When sandboxing, limit resource and network access and build the container or virtual machine from a clean base image before each run. This restricts untrusted processes or potential compromises from spreading throughout the system.",AML.T0053|AML.T0086|AML.T0098|AML.T0085|AML.T0085.000|AML.T0085.001,https://atlas.mitre.org/mitigations/AML.M0032/,atlas
AML.M0033,Input and Output Validation for AI Agent Components,"Implement validation on inputs and outputs for the tools and data sources used by AI agents. Validation includes enforcing a common data format, schema validation, checks for sensitive or prohibited information leakage, and data sanitization to remove potential injections or unsafe code. Input and output validation can help prevent compromises from spreading in AI-enabled systems and can help secure the workflow when multiple components are chained together. Validation should be performed external to the AI agent.",AML.T0053|AML.T0086|AML.T0051|AML.T0051.000|AML.T0051.001|AML.T0051.002,https://atlas.mitre.org/mitigations/AML.M0033/,atlas
AML.M0034,Deepfake Detection,"Apply deepfake detection algorithms against any untrusted or user-provided data, especially in impactful applications such as biometric verification, to block generated content.  Detectors may use a combination of approaches, including: -	AI models trained to differentiate between real and deepfake content. -	Identifying common inconsistencies in deepfake content, such as unnatural facial movements, audio mismatches, or pixel-level artifacts. -	Biometrics analysis, such blinking, eye movements, and microexpressions.",AML.T0088|AML.T0052|AML.T0052.000|AML.T0015|AML.T0052.001,https://atlas.mitre.org/mitigations/AML.M0034/,atlas
